run_id	workflow	created_at	event	kind	failed_checks	fail_rows	digest
28990615158	DB(Nightly)	2026-07-09T02:51:40Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:amazon_2_extra_kernel 1431 1521 90 0 6.3% 5.0% ;; DET_MASTER:amazon_2023 2235 2356 121 0 5.4% 5.0% ;; DET_OLD:amazon_2_extra_kernel 1431 1521 90 0 6.3% 5.0% ;; DET_OLD:amazon_2023 2235 2356 121 0 5.4% 5.0% ;; DB:cpe 29.0% 0.0% 10.0%	sha256:1c1ef17c1ccfad84bbb90b79d3c23cf04ba5745ae9b549d6b66cc74f76ed6e8d
29134285305	DB	2026-07-11T01:15:07Z	schedule	guard-trip	db	DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:7f16eb8dfe47dd0078c5e4a1a08c7c847a9bb8f06ba5b65bddf652544e6713cf
29136481259	DB(Nightly)	2026-07-11T02:31:18Z	schedule	guard-trip	db	DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:c74e304a2416440ef0a6de566f7079aafed8f1c0ba942c3ca2a6ce4d70233518
29145213980	DB(Nightly)	2026-07-11T07:52:25Z	schedule	guard-trip	db	DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:f3178911da852f29ed1bbe5c582a22688ddf69f7c2943074b4ba708c7fcde4ce
29153111108	DB	2026-07-11T12:43:25Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0%	sha256:eaf17d31a55b990fa6f357e71f72f5cec84f2299c17e95a380358d377c5af44c
29153995057	DB(Nightly)	2026-07-11T13:15:02Z	schedule	guard-trip	db	DB:ubuntu:25.10 47.8% 0.0% 10.0%	sha256:f46f8df45f9782d485c6109e90b38b0fa9c1cdf27b7e363dcfd981043f317af8
29163850376	DB	2026-07-11T18:39:13Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:8ee99b52a1ad8d51bbc207070a60ad04016042bce7d0a8d7ee3a2256822c9383
29175032337	DB	2026-07-12T01:17:06Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:d9bd18a3099c25d0c6cbce681c6a50bcb843cc659b6efaa9efcef5cda82e84b3
29177032922	DB(Nightly)	2026-07-12T02:37:13Z	schedule	guard-trip	db	DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:abec6a9ccc8595b268a5fb8674c8ce3243aa20034d2f8d73b9aaf223b59ebfd7
29184904742	DB	2026-07-12T07:51:48Z	schedule	guard-trip	det_master+det_old+db	DET_MASTER:windows_11_21h2 1278 1017 0 261 20.4% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1043 0 261 20.0% 10.0% ;; DET_MASTER:windows_10_20h2 1523 1262 0 261 17.1% 10.0% ;; DET_MASTER:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DET_OLD:opensuse_tumbleweed 317 335 18 0 5.7% 5.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:288e64d8c02bf3059b8866fe990ce3d1f1d1178c9f29c96fc34a42784b4201f3
29185503179	DB(Nightly)	2026-07-12T08:13:42Z	schedule	guard-trip	det_master+db	DET_MASTER:windows_11_21h2 1278 1017 0 261 20.4% 10.0% ;; DET_MASTER:windows_11_22h2 1304 1043 0 261 20.0% 10.0% ;; DET_MASTER:windows_10_20h2 1523 1262 0 261 17.1% 10.0% ;; DB:ubuntu:25.10 47.8% 0.0% 10.0% ;; DB:cpe 12.0% 0.0% 10.0%	sha256:3171367ef057b24211f30b95a1372edeea5e428ee245df5677d81fd4f871dba5
